0	1	2		
2.390000	8.339806	14.416539		
2.395000			3.090185	7.147515
2.400000	8.370708	14.488255		
2.405000			3.090224	7.171683
2.410000	8.401610	14.560215		
2.415000			3.090262	7.195951
2.420000	8.432513	14.632418		
2.425000			3.090300	7.220319
2.430000	8.463417	14.704866		
2.435000			3.090337	7.244786
2.440000	8.494321	14.777559		
2.445000			3.090374	7.269352
2.450000	8.525225	14.850500		
2.455000			3.090411	7.294017
2.460000	8.556129	14.923687		
2.465000			3.090447	7.318782
2.470000	8.587034	14.997124		
2.475000			3.090483	7.343647
2.480000	8.617939	15.070810		
2.485000			3.090518	7.368610
2.490000	8.648845	15.144747		
2.495000			3.090553	7.393674
2.500000	8.679751	15.218935		
2.505000			3.090588	7.418836
2.510000	8.710657	15.293376		
2.515000			3.090622	7.444098
2.520000	8.741563	15.368071		
2.525000			3.090656	7.469459
2.530000	8.772470	15.443020		
2.535000			3.090690	7.494920
2.540000	8.803378	15.518225		
2.545000			3.090723	7.520481
2.550000	8.834285	15.593686		
2.555000			3.090756	7.546140
2.560000	8.865193	15.669405		
2.565000			3.090789	7.571900
2.570000	8.896101	15.745383		
2.575000			3.090821	7.597758
2.580000	8.927010	15.821620		
2.585000			3.090853	7.623716
2.590000	8.957919	15.898118		
2.595000			3.090884	7.649774
2.600000	8.988828	15.974877		
2.605000			3.090916	7.675931
2.610000	9.019737	16.051899		
2.615000			3.090947	7.702188
2.620000	9.050647	16.129184		
2.625000			3.090977	7.728544
2.630000	9.081557	16.206734		
2.635000			3.091008	7.754999
2.640000	9.112467	16.284550		
2.645000			3.091038	7.781554
2.650000	9.143378	16.362632		
2.655000			3.091067	7.808209
2.660000	9.174289	16.440981		
2.665000			3.091097	7.834963
2.670000	9.205200	16.519600		
2.675000			3.091126	7.861817
2.680000	9.236112	16.598487		
2.685000			3.091154	7.888770
2.690000	9.267024	16.677646		
2.695000			3.091183	7.915822
2.700000	9.297936	16.757075		
2.705000			3.091211	7.942974
2.710000	9.328848	16.836778		
2.715000			3.091239	7.970226
2.720000	9.359761	16.916753		
2.725000			3.091267	7.997577
2.730000	9.390674	16.997004		
2.735000			3.091294	8.025028
2.740000	9.421587	17.077529		
2.745000			3.091321	8.052579
2.750000	9.452500	17.158332		
2.755000			3.091348	8.080228
2.760000	9.483414	17.239411		
2.765000			3.091374	8.107978
2.770000	9.514328	17.320770		
2.775000			3.091401	8.135827
2.780000	9.545242	17.402408		
2.785000			3.091427	8.163776
2.790000	9.576157	17.484326		
2.795000			3.091452	8.191824
2.800000	9.607072	17.566525		
2.805000			3.091478	8.219972
2.810000	9.637987	17.649008		
2.815000			3.091503	8.248219
2.820000	9.668902	17.731773		
2.825000			3.091528	8.276566
2.830000	9.699818	17.814823		
2.835000			3.091553	8.305012
2.840000	9.730733	17.898159		
2.845000			3.091577	8.333558
2.850000	9.761649	17.981781		
2.855000			3.091601	8.362204
2.860000	9.792566	18.065691		
2.865000			3.091625	8.390950
2.870000	9.823482	18.149889		
2.875000			3.091649	8.419794
2.880000	9.854399	18.234376		
