Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
39.9 0.295621 0.683144
40 0.329696 0.700563
40.1 0.364639 0.712621
40.2 0.400183 0.718975
40.3 0.436043 0.71934
40.4 0.47192 0.713486
40.5 0.507505 0.701245
40.6 0.542478 0.682513
40.7 0.576516 0.657249
40.8 0.609294 0.625478
40.9 0.640486 0.587292
41 0.669772 0.542848
41.1 0.696841 0.492368
41.2 0.721392 0.436137
41.3 0.743138 0.3745
41.4 0.761808 0.307859
41.5 0.777155 0.236672
41.6 0.78895 0.161447
41.7 0.796993 0.0827365
41.8 0.801109 0.00113371
41.9 0.801156 -0.0827328
42 0.797019 -0.168205
42.1 0.788619 -0.254603
42.2 0.77591 -0.341229
42.3 0.75888 -0.427376
42.4 0.737554 -0.512332
42.5 0.711991 -0.595392
42.6 0.682285 -0.675857
42.7 0.648567 -0.753047
42.8 0.610998 -0.826307
42.9 0.569777 -0.895008
43 0.52513 -0.95856
43.1 0.477313 -1.01641
43.2 0.426612 -1.06806
43.3 0.373336 -1.11306
43.4 0.317816 -1.15101
43.5 0.260404 -1.18157
43.6 0.201469 -1.20448
43.7 0.141393 -1.21953
43.8 0.0805664 -1.22658
43.9 0.0193897 -1.22556
44 -0.0417352 -1.21647
44.1 -0.102406 -1.19939
44.2 -0.162223 -1.17445
44.3 -0.220796 -1.14187
44.4 -0.277744 -1.10193
44.5 -0.332698 -1.05495
44.6 -0.385308 -1.00135
44.7 -0.435244 -0.941579
44.8 -0.482198 -0.876145
44.9 -0.525888 -0.805608
45 -0.566059 -0.730567
45.1 -0.602487 -0.651658
45.2 -0.634979 -0.569548
45.3 -0.663375 -0.484927
45.4 -0.68755 -0.398506
45.5 -0.707415 -0.311004
45.6 -0.722916 -0.223145
45.7 -0.734034 -0.135651
45.8 -0.740789 -0.0492339
45.9 -0.743234 0.0354092
46 -0.741457 0.117605
46.1 -0.735581 0.196708
46.2 -0.725761 0.272109
46.3 -0.71218 0.343238
46.4 -0.695052 0.40957
46.5 -0.674616 0.470632
46.6 -0.651136 0.526006
46.7 -0.624894 0.57533
46.8 -0.596193 0.618305
46.9 -0.56535 0.654697
47 -0.532692 0.684335
47.1 -0.498557 0.707118
47.2 -0.463286 0.72301
47.3 -0.427224 0.732044
47.4 -0.390712 0.73432
47.5 -0.354087 0.730003
47.6 -0.317679 0.719319
47.7 -0.281804 0.702556
47.8 -0.246766 0.680061
47.9 -0.21285 0.65223
48 -0.180323 0.619512
48.1 -0.149429 0.582396
48.2 -0.120387 0.541412
48.3 -0.0933885 0.497124
48.4 -0.0685998 0.45012
48.5 -0.0461558 0.401011
48.6 -0.0261614 0.350421
48.7 -0.00869031 0.298983
48.8 0.00621515 0.24733
48.9 0.0185444 0.196091
49 0.0283181 0.145883
49.1 0.0355878 0.0973021
49.2 0.0404348 0.0509234
49.3 0.0429688 0.00728976
49.4 0.043327 -0.0330916
49.5 0.0416715 -0.0697546
49.6 0.0381879 -0.102279
49.7 0.0330827 -0.130295
49.8 0.0265807 -0.153486
49.9 0.0189226 -0.171594
50 0.0103621 -0.18442
50.1 0.00116246 -0.191827
50.2 -0.00840588 -0.19374
50.3 -0.018069 -0.190149
50.4 -0.0275523 -0.181109
50.5 -0.036584 -0.166735
50.6 -0.0448982 -0.147207
50.7 -0.0522377 -0.122764
50.8 -0.0583576 -0.0937018
50.9 -0.0630274 -0.0603715
51 -0.0660343 -0.0231745
51.1 -0.0671855 0.0174413
51.2 -0.0663106 0.0609862
51.3 -0.0632634 0.106934
51.4 -0.0579243 0.154728
51.5 -0.0502013 0.203784
51.6 -0.0400314 0.253502
51.7 -0.0273818 0.303266
51.8 -0.0122501 0.352457
51.9 0.00533493 0.400453
52 0.0253136 0.44664
52.1 0.0475957 0.490419
52.2 0.0720609 0.531207
52.3 0.0985601 0.568451
52.4 0.126916 0.601626
52.5 0.156927 0.630246
52.6 0.188364 0.653869
52.7 0.220979 0.672098
52.8 0.254502 0.68459
52.9 0.288648 0.691055
53 0.323115 0.691265
53.1 0.357592 0.685051
53.2 0.391759 0.672311
53.3 0.425289 0.653006
53.4 0.457855 0.627162
53.5 0.489132 0.594873
53.6 0.518798 0.5563
53.7 0.546538 0.511665
53.8 0.572052 0.461255
53.9 0.595051 0.405417
54 0.615265 0.344553
54.1 0.632442 0.279122
54.2 0.646355 0.209629
54.3 0.656802 0.136626
54.4 0.663607 0.0607016
54.5 0.666625 -0.0175196
54.6 0.665741 -0.097386
54.7 0.660874 -0.178224
54.8 0.651975 -0.259346
54.9 0.63903 -0.340054
