Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: leap-frog
37.5 -6.26919 -0.554019
37.6 -6.29261 0.0770504
37.7 -6.25324 0.707948
37.8 -6.15142 1.33237
37.9 -5.98811 1.94406
38 -5.76488 2.5369
38.1 -5.4839 3.10494
38.2 -5.14794 3.64249
38.3 -4.76029 4.14413
38.4 -4.32478 4.60483
38.5 -3.84572 5.01994
38.6 -3.32785 5.38528
38.7 -2.77632 5.69713
38.8 -2.1966 5.95235
38.9 -1.59447 6.14834
39 -0.975906 6.28307
39.1 -0.347088 6.35515
39.2 0.285716 6.36381
39.3 0.916188 6.30891
39.4 1.53803 6.19094
39.5 2.14502 6.01103
39.6 2.73108 5.77092
39.7 3.29034 5.47298
39.8 3.8172 5.12012
39.9 4.30637 4.71584
40 4.75292 4.26413
40.1 5.15237 3.76947
40.2 5.50068 3.23677
40.3 5.79434 2.67132
40.4 6.03038 2.07876
40.5 6.20639 1.46498
40.6 6.32056 0.836108
40.7 6.37172 0.198412
40.8 6.3593 -0.441739
40.9 6.28337 -1.07795
41 6.14466 -1.70385
41.1 5.9445 -2.31319
41.2 5.68485 -2.89985
41.3 5.36826 -3.45796
41.4 4.99785 -3.98193
41.5 4.57728 -4.46648
41.6 4.11072 -4.90675
41.7 3.6028 -5.2983
41.8 3.05857 -5.63719
41.9 2.48343 -5.92
42 1.88311 -6.14385
42.1 1.2636 -6.30648
42.2 0.63106 -6.40622
42.3 -0.00818915 -6.44202
42.4 -0.647768 -6.41349
42.5 -1.28129 -6.32087
42.6 -1.90242 -6.16504
42.7 -2.50494 -5.94752
42.8 -3.08282 -5.67045
42.9 -3.63029 -5.33656
43 -4.14183 -4.94914
43.1 -4.61234 -4.51205
43.2 -5.03707 -4.0296
43.3 -5.41175 -3.50661
43.4 -5.73262 -2.94827
43.5 -5.99644 -2.36014
43.6 -6.20053 -1.74808
43.7 -6.34282 -1.1182
43.8 -6.42186 -0.476776
