Wähle das Verfahren (n = 50000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
0.829 0.417011 1.03467
0.83 0.417528 1.03478
0.831 0.418045 1.03489
0.832 0.418563 1.035
0.833 0.41908 1.03511
0.834 0.419598 1.03522
0.835 0.420115 1.03532
0.836 0.420633 1.03543
0.837 0.421151 1.03554
0.838 0.421669 1.03565
0.839 0.422186 1.03576
0.84 0.422704 1.03587
0.841 0.423222 1.03598
0.842 0.42374 1.03609
0.843 0.424258 1.0362
0.844 0.424776 1.03631
0.845 0.425294 1.03642
0.846 0.425813 1.03653
0.847 0.426331 1.03664
0.848 0.426849 1.03675
0.849 0.427368 1.03686
0.85 0.427886 1.03697
0.851 0.428405 1.03707
0.852 0.428923 1.03718
0.853 0.429442 1.03729
0.854 0.42996 1.03741
0.855 0.430479 1.03752
0.856 0.430998 1.03763
0.857 0.431517 1.03774
0.858 0.432035 1.03785
0.859 0.432554 1.03796
0.86 0.433073 1.03807
0.861 0.433592 1.03818
0.862 0.434111 1.03829
0.863 0.434631 1.0384
0.864 0.43515 1.03851
0.865 0.435669 1.03862
0.866 0.436188 1.03873
0.867 0.436708 1.03884
0.868 0.437227 1.03895
0.869 0.437747 1.03906
0.87 0.438266 1.03918
0.871 0.438786 1.03929
0.872 0.439305 1.0394
0.873 0.439825 1.03951
0.874 0.440345 1.03962
0.875 0.440865 1.03973
0.876 0.441385 1.03984
0.877 0.441904 1.03995
0.878 0.442424 1.04007
0.879 0.442944 1.04018
0.88 0.443465 1.04029
0.881 0.443985 1.0404
0.882 0.444505 1.04051
0.883 0.445025 1.04062
0.884 0.445545 1.04074
0.885 0.446066 1.04085
0.886 0.446586 1.04096
0.887 0.447107 1.04107
0.888 0.447627 1.04118
0.889 0.448148 1.0413
0.89 0.448669 1.04141
0.891 0.449189 1.04152
0.892 0.44971 1.04163
0.893 0.450231 1.04174
0.894 0.450752 1.04186
0.895 0.451273 1.04197
0.896 0.451794 1.04208
0.897 0.452315 1.04219
0.898 0.452836 1.04231
0.899 0.453357 1.04242
0.9 0.453878 1.04253
0.901 0.454399 1.04264
0.902 0.454921 1.04276
0.903 0.455442 1.04287
0.904 0.455963 1.04298
