Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Verlet
0 0 1
2.36 0.697279 -0.709799 0.495007
2.37 0.690076 -0.716808 0.49501
2.38 0.682804 -0.723745 0.495014
2.39 0.675464 -0.730609 0.495021
2.4 0.668056 -0.7374 0.495029
2.41 0.660582 -0.744118 0.49504
2.42 0.653041 -0.750761 0.495053
2.43 0.645435 -0.757329 0.495067
2.44 0.637765 -0.763822 0.495084
2.45 0.630031 -0.770238 0.495102
2.46 0.622233 -0.776577 0.495123
2.47 0.614374 -0.782838 0.495145
2.48 0.606453 -0.789021 0.49517
2.49 0.598471 -0.795125 0.495196
2.5 0.59043 -0.80115 0.495224
2.51 0.582329 -0.807094 0.495254
2.52 0.574171 -0.812958 0.495286
2.53 0.565955 -0.818741 0.49532
2.54 0.557682 -0.824441 0.495356
2.55 0.549353 -0.830059 0.495394
2.56 0.54097 -0.835595 0.495433
2.57 0.532532 -0.841046 0.495475
2.58 0.524042 -0.846414 0.495518
2.59 0.515499 -0.851697 0.495563
2.6 0.506904 -0.856894 0.49561
2.61 0.498258 -0.862006 0.495658
2.62 0.489563 -0.867032 0.495708
2.63 0.480819 -0.871971 0.49576
2.64 0.472027 -0.876823 0.495814
2.65 0.463187 -0.881587 0.495869
2.66 0.454301 -0.886263 0.495926
2.67 0.44537 -0.890851 0.495985
2.68 0.436394 -0.895349 0.496045
2.69 0.427375 -0.899758 0.496107
2.7 0.418313 -0.904077 0.49617
2.71 0.409209 -0.908305 0.496235
2.72 0.400064 -0.912443 0.496302
2.73 0.390879 -0.916489 0.49637
2.74 0.381655 -0.920444 0.496439
2.75 0.372393 -0.924307 0.49651
2.76 0.363094 -0.928077 0.496582
2.77 0.353758 -0.931754 0.496655
2.78 0.344387 -0.935339 0.49673
2.79 0.334981 -0.938829 0.496807
2.8 0.325542 -0.942226 0.496884
2.81 0.316071 -0.945529 0.496963
2.82 0.306568 -0.948737 0.497043
2.83 0.297034 -0.95185 0.497124
2.84 0.28747 -0.954868 0.497206
2.85 0.277878 -0.957791 0.49729
2.86 0.268258 -0.960617 0.497374
2.87 0.258611 -0.963348 0.49746
2.88 0.248938 -0.965982 0.497546
2.89 0.239241 -0.96852 0.497634
2.9 0.229519 -0.970961 0.497722
2.91 0.219774 -0.973305 0.497812
2.92 0.210008 -0.975551 0.497902
2.93 0.20022 -0.9777 0.497993
2.94 0.190413 -0.979751 0.498085
2.95 0.180586 -0.981705 0.498178
2.96 0.170742 -0.98356 0.498271
2.97 0.16088 -0.985316 0.498365
2.98 0.151002 -0.986974 0.49846
2.99 0.141109 -0.988534 0.498555
3 0.131202 -0.989994 0.498651
3.01 0.121282 -0.991356 0.498748
3.02 0.11135 -0.992618 0.498845
3.03 0.101407 -0.993781 0.498942
3.04 0.0914531 -0.994845 0.49904
3.05 0.0814905 -0.995809 0.499139
3.06 0.0715196 -0.996674 0.499237
3.07 0.0615417 -0.997439 0.499336
3.08 0.0515576 -0.998105 0.499435
3.09 0.0415683 -0.99867 0.499535
3.1 0.0315748 -0.999136 0.499635
3.11 0.0215782 -0.999501 0.499734
3.12 0.0115795 -0.999767 0.499834
3.13 0.00157959 -0.999933 0.499934
3.14 -0.00842048 -0.999999 0.500034
3.15 -0.0184197 -0.999965 0.500134
3.16 -0.0284171 -0.99983 0.500234
3.17 -0.0384116 -0.999596 0.500334
3.18 -0.0484023 -0.999262 0.500434
3.19 -0.0583882 -0.998828 0.500533
3.2 -0.0683682 -0.998294 0.500633
3.21 -0.0783414 -0.99766 0.500732
3.22 -0.0883067 -0.996927 0.50083
3.23 -0.0982633 -0.996093 0.500929
