Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: leap-frog
0 0 1
2.88 0.256734 -0.959797 0.493561
2.89 0.247124 -0.962268 0.493515
2.9 0.23749 -0.964643 0.493469
2.91 0.227832 -0.966922 0.493423
2.92 0.218153 -0.969104 0.493376
2.93 0.208452 -0.971188 0.49333
2.94 0.198731 -0.973176 0.493283
2.95 0.18899 -0.975066 0.493235
2.96 0.179231 -0.976859 0.493188
2.97 0.169454 -0.978553 0.493141
2.98 0.159661 -0.98015 0.493093
2.99 0.149853 -0.981649 0.493045
3 0.14003 -0.983049 0.492997
3.01 0.130193 -0.984351 0.492949
3.02 0.120344 -0.985555 0.4929
3.03 0.110483 -0.98666 0.492852
3.04 0.100612 -0.987666 0.492803
3.05 0.0907316 -0.988573 0.492755
3.06 0.0808423 -0.989382 0.492706
3.07 0.0709454 -0.990091 0.492657
3.08 0.061042 -0.990702 0.492608
3.09 0.0511329 -0.991213 0.492559
3.1 0.0412192 -0.991626 0.49251
3.11 0.0313019 -0.991939 0.492461
3.12 0.0213819 -0.992152 0.492412
3.13 0.0114603 -0.992267 0.492363
3.14 0.00153805 -0.992282 0.492313
3.15 -0.00838386 -0.992199 0.492264
3.16 -0.0183044 -0.992016 0.492215
3.17 -0.0282227 -0.991733 0.492166
3.18 -0.0381376 -0.991352 0.492116
3.19 -0.0480482 -0.990871 0.492067
3.2 -0.0579535 -0.990292 0.492018
3.21 -0.0678526 -0.989613 0.491969
3.22 -0.0777443 -0.988836 0.49192
3.23 -0.0876278 -0.987959 0.491871
3.24 -0.097502 -0.986984 0.491822
3.25 -0.107366 -0.98591 0.491773
3.26 -0.117219 -0.984738 0.491725
3.27 -0.127059 -0.983467 0.491676
3.28 -0.136887 -0.982098 0.491628
3.29 -0.1467 -0.980631 0.491579
3.3 -0.156498 -0.979066 0.491531
3.31 -0.16628 -0.977403 0.491483
3.32 -0.176044 -0.975643 0.491435
3.33 -0.185791 -0.973784 0.491387
3.34 -0.195519 -0.971829 0.49134
3.35 -0.205226 -0.969777 0.491292
3.36 -0.214913 -0.967627 0.491245
3.37 -0.224577 -0.965381 0.491198
3.38 -0.234219 -0.963039 0.491151
3.39 -0.243837 -0.9606 0.491105
3.4 -0.253429 -0.958066 0.491058
3.41 -0.262996 -0.955435 0.491012
3.42 -0.272537 -0.95271 0.490966
3.43 -0.282049 -0.949889 0.490921
3.44 -0.291533 -0.946973 0.490875
3.45 -0.300987 -0.943963 0.49083
3.46 -0.310411 -0.940859 0.490785
3.47 -0.319803 -0.937661 0.490741
3.48 -0.329163 -0.934369 0.490696
3.49 -0.338489 -0.930983 0.490652
3.5 -0.347781 -0.927505 0.490609
3.51 -0.357038 -0.923934 0.490565
3.52 -0.366258 -0.920272 0.490522
3.53 -0.375442 -0.916517 0.49048
3.54 -0.384587 -0.912671 0.490437
3.55 -0.393694 -0.908733 0.490395
3.56 -0.402761 -0.904705 0.490354
3.57 -0.411787 -0.900587 0.490312
3.58 -0.420771 -0.896379 0.490272
3.59 -0.429713 -0.892081 0.490231
3.6 -0.438611 -0.887695 0.490191
3.61 -0.447465 -0.88322 0.490151
3.62 -0.456274 -0.878656 0.490112
3.63 -0.465037 -0.874006 0.490073
3.64 -0.473753 -0.869268 0.490034
3.65 -0.482421 -0.864443 0.489996
3.66 -0.491041 -0.859532 0.489958
3.67 -0.499611 -0.854535 0.489921
3.68 -0.50813 -0.849454 0.489884
3.69 -0.516598 -0.844287 0.489847
3.7 -0.525015 -0.839036 0.489811
3.71 -0.533378 -0.833702 0.489776
3.72 -0.541687 -0.828285 0.48974
3.73 -0.549942 -0.822785 0.489706
3.74 -0.558142 -0.817203 0.489671
3.75 -0.566285 -0.811539 0.489637
3.76 -0.574371 -0.805795 0.489604
3.77 -0.5824 -0.79997 0.489571
3.78 -0.59037 -0.794066 0.489539
3.79 -0.59828 -0.788083 0.489507
3.8 -0.60613 -0.782021 0.489475
3.81 -0.613919 -0.775881 0.489444
3.82 -0.621646 -0.769664 0.489413
3.83 -0.629311 -0.76337 0.489383
3.84 -0.636913 -0.757001 0.489354
3.85 -0.64445 -0.750555 0.489325
3.86 -0.651923 -0.744036 0.489296
3.87 -0.65933 -0.737442 0.489268
3.88 -0.66667 -0.730774 0.48924
3.89 -0.673944 -0.724034 0.489213
3.9 -0.68115 -0.717222 0.489186
3.91 -0.688287 -0.710338 0.48916
3.92 -0.695356 -0.703384 0.489134
3.93 -0.702354 -0.69636 0.489109
3.94 -0.709282 -0.689266 0.489084
3.95 -0.716138 -0.682104 0.48906
3.96 -0.722923 -0.674874 0.489036
3.97 -0.729635 -0.667577 0.489013
3.98 -0.736273 -0.660214 0.48899
3.99 -0.742838 -0.652785 0.488968
4 -0.749328 -0.645291 0.488946
4.01 -0.755743 -0.637732 0.488925
4.02 -0.762082 -0.630111 0.488904
4.03 -0.768344 -0.622427 0.488884
4.04 -0.774529 -0.614681 0.488864
4.05 -0.780637 -0.606873 0.488845
4.06 -0.786666 -0.599006 0.488826
4.07 -0.792616 -0.591079 0.488807
4.08 -0.798487 -0.583093 0.488789
4.09 -0.804277 -0.57505 0.488772
4.1 -0.809987 -0.566949 0.488755
4.11 -0.815615 -0.558792 0.488738
4.12 -0.821162 -0.55058 0.488722
4.13 -0.826626 -0.542313 0.488707
4.14 -0.832007 -0.533992 0.488692
4.15 -0.837305 -0.525618 0.488677
4.16 -0.842519 -0.517192 0.488663
4.17 -0.847648 -0.508714 0.488649
4.18 -0.852692 -0.500187 0.488635
4.19 -0.857651 -0.491609 0.488623
4.2 -0.862524 -0.482983 0.48861
4.21 -0.86731 -0.474309 0.488598
4.22 -0.872009 -0.465588 0.488586
4.23 -0.876621 -0.456821 0.488575
4.24 -0.881145 -0.448009 0.488564
4.25 -0.885581 -0.439152 0.488554
4.26 -0.889927 -0.430252 0.488544
4.27 -0.894185 -0.421309 0.488534
4.28 -0.898353 -0.412325 0.488525
4.29 -0.902431 -0.4033 0.488516
4.3 -0.906418 -0.394235 0.488507
4.31 -0.910315 -0.385131 0.488499
4.32 -0.91412 -0.375988 0.488492
4.33 -0.917834 -0.366809 0.488484
4.34 -0.921456 -0.357594 0.488477
4.35 -0.924985 -0.348343 0.48847
4.36 -0.928422 -0.339058 0.488464
4.37 -0.931766 -0.329739 0.488458
4.38 -0.935017 -0.320388 0.488452
4.39 -0.938173 -0.311005 0.488447
4.4 -0.941236 -0.301592 0.488442
4.41 -0.944205 -0.292149 0.488437
4.42 -0.947079 -0.282677 0.488432
4.43 -0.949858 -0.273178 0.488428
4.44 -0.952542 -0.263651 0.488424
4.45 -0.95513 -0.254099 0.48842
4.46 -0.957623 -0.244522 0.488417
4.47 -0.960021 -0.234921 0.488414
4.48 -0.962321 -0.225297 0.488411
4.49 -0.964526 -0.21565 0.488408
4.5 -0.966634 -0.205983 0.488405
4.51 -0.968645 -0.196296 0.488403
4.52 -0.97056 -0.186589 0.488401
4.53 -0.972377 -0.176864 0.488399
4.54 -0.974097 -0.167122 0.488397
4.55 -0.975719 -0.157364 0.488396
4.56 -0.977244 -0.147591 0.488394
4.57 -0.978671 -0.137803 0.488393
4.58 -0.98 -0.128002 0.488392
4.59 -0.981231 -0.118189 0.488391
4.6 -0.982363 -0.108364 0.48839
4.61 -0.983398 -0.0985294 0.48839
4.62 -0.984334 -0.0886851 0.488389
4.63 -0.985171 -0.0788324 0.488388
4.64 -0.98591 -0.0689723 0.488388
4.65 -0.986551 -0.0591058 0.488388
4.66 -0.987092 -0.0492339 0.488388
4.67 -0.987535 -0.0393575 0.488387
4.68 -0.987879 -0.0294778 0.488387
4.69 -0.988125 -0.0195955 0.488387
4.7 -0.988271 -0.00971183 0.488387
4.71 -0.988319 0.000172345 0.488387
4.72 -0.988268 0.010056 0.488387
4.73 -0.988118 0.0199382 0.488387
4.74 -0.987869 0.0298179 0.488387
4.75 -0.987521 0.0396941 0.488387
4.76 -0.987075 0.0495658 0.488387
4.77 -0.98653 0.0594321 0.488387
4.78 -0.985887 0.0692919 0.488387
4.79 -0.985144 0.0791444 0.488387
4.8 -0.984304 0.0889884 0.488386
4.81 -0.983365 0.098823 0.488386
4.82 -0.982328 0.108647 0.488386
4.83 -0.981192 0.11846 0.488385
4.84 -0.979958 0.128261 0.488385
4.85 -0.978627 0.138048 0.488384
4.86 -0.977198 0.147821 0.488383
4.87 -0.975671 0.157579 0.488382
4.88 -0.974046 0.16732 0.488381
4.89 -0.972325 0.177044 0.48838
4.9 -0.970506 0.18675 0.488379
4.91 -0.96859 0.196437 0.488377
4.92 -0.966577 0.206104 0.488375
4.93 -0.964468 0.21575 0.488373
4.94 -0.962263 0.225373 0.488371
4.95 -0.959961 0.234974 0.488369
4.96 -0.957563 0.24455 0.488366
4.97 -0.95507 0.254102 0.488364
4.98 -0.952482 0.263628 0.488361
4.99 -0.949798 0.273127 0.488357
5 -0.94702 0.282598 0.488354
5.01 -0.944147 0.29204 0.48835
5.02 -0.941179 0.301453 0.488346
5.03 -0.938118 0.310835 0.488342
5.04 -0.934963 0.320186 0.488337
5.05 -0.931715 0.329504 0.488333
5.06 -0.928373 0.338788 0.488327
5.07 -0.92494 0.348039 0.488322
5.08 -0.921413 0.357254 0.488316
5.09 -0.917795 0.366433 0.48831
5.1 -0.914085 0.375574 0.488304
5.11 -0.910284 0.384678 0.488297
5.12 -0.906392 0.393743 0.48829
5.13 -0.90241 0.402768 0.488283
5.14 -0.898337 0.411752 0.488275
5.15 -0.894175 0.420695 0.488267
5.16 -0.889924 0.429595 0.488258
5.17 -0.885584 0.438452 0.48825
5.18 -0.881156 0.447264 0.48824
5.19 -0.876639 0.456032 0.488231
5.2 -0.872036 0.464753 0.488221
5.21 -0.867345 0.473427 0.48821
5.22 -0.862568 0.482054 0.4882
5.23 -0.857705 0.490632 0.488188
5.24 -0.852756 0.49916 0.488177
5.25 -0.847722 0.507638 0.488165
5.26 -0.842604 0.516065 0.488152
5.27 -0.837402 0.52444 0.488139
5.28 -0.832116 0.532762 0.488126
5.29 -0.826747 0.54103 0.488112
5.3 -0.821296 0.549244 0.488098
5.31 -0.815763 0.557402 0.488083
5.32 -0.810149 0.565505 0.488068
5.33 -0.804454 0.57355 0.488053
5.34 -0.798679 0.581538 0.488037
5.35 -0.792824 0.589467 0.48802
5.36 -0.78689 0.597336 0.488004
5.37 -0.780878 0.605146 0.487986
5.38 -0.774788 0.612894 0.487968
5.39 -0.768621 0.620581 0.48795
5.4 -0.762378 0.628206 0.487931
5.41 -0.756058 0.635767 0.487912
5.42 -0.749663 0.643265 0.487892
5.43 -0.743194 0.650697 0.487872
5.44 -0.73665 0.658065 0.487851
5.45 -0.730033 0.665366 0.48783
5.46 -0.723344 0.6726 0.487809
5.47 -0.716582 0.679766 0.487786
5.48 -0.70975 0.686865 0.487764
5.49 -0.702846 0.693894 0.487741
5.5 -0.695873 0.700853 0.487717
5.51 -0.68883 0.707742 0.487693
5.52 -0.681719 0.71456 0.487668
5.53 -0.67454 0.721306 0.487643
5.54 -0.667294 0.72798 0.487618
5.55 -0.659982 0.73458 0.487592
5.56 -0.652603 0.741107 0.487565
5.57 -0.64516 0.747559 0.487538
5.58 -0.637653 0.753936 0.487511
5.59 -0.630083 0.760238 0.487483
5.6 -0.62245 0.766463 0.487455
5.61 -0.614755 0.772611 0.487426
5.62 -0.606999 0.778682 0.487396
5.63 -0.599182 0.784674 0.487367
5.64 -0.591306 0.790588 0.487336
5.65 -0.583372 0.796422 0.487305
5.66 -0.575379 0.802177 0.487274
5.67 -0.567329 0.80785 0.487242
5.68 -0.559223 0.813443 0.48721
5.69 -0.551062 0.818954 0.487178
5.7 -0.542845 0.824383 0.487145
5.71 -0.534575 0.82973 0.487111
5.72 -0.526252 0.834993 0.487077
5.73 -0.517877 0.840172 0.487043
5.74 -0.50945 0.845267 0.487008
5.75 -0.500973 0.850277 0.486972
5.76 -0.492446 0.855202 0.486937
5.77 -0.48387 0.860041 0.486901
5.78 -0.475246 0.864794 0.486864
5.79 -0.466575 0.869461 0.486827
5.8 -0.457858 0.87404 0.48679
5.81 -0.449096 0.878531 0.486752
5.82 -0.440289 0.882934 0.486714
5.83 -0.431438 0.887249 0.486675
5.84 -0.422545 0.891475 0.486636
5.85 -0.41361 0.895612 0.486597
5.86 -0.404634 0.899658 0.486557
5.87 -0.395618 0.903615 0.486517
5.88 -0.386563 0.907481 0.486476
5.89 -0.37747 0.911256 0.486436
5.9 -0.36834 0.91494 0.486394
5.91 -0.359173 0.918532 0.486353
5.92 -0.34997 0.922032 0.486311
5.93 -0.340733 0.92544 0.486269
5.94 -0.331463 0.928755 0.486226
5.95 -0.32216 0.931976 0.486184
5.96 -0.312825 0.935105 0.48614
5.97 -0.303459 0.93814 0.486097
5.98 -0.294063 0.941081 0.486053
5.99 -0.284639 0.943928 0.486009
6 -0.275186 0.94668 0.485965
6.01 -0.265707 0.949337 0.48592
6.02 -0.256201 0.951899 0.485876
6.03 -0.24667 0.954366 0.485831
6.04 -0.237115 0.956738 0.485785
6.05 -0.227537 0.959013 0.48574
6.06 -0.217936 0.961193 0.485694
6.07 -0.208314 0.963276 0.485648
6.08 -0.198672 0.965263 0.485602
6.09 -0.189011 0.967153 0.485555
6.1 -0.179331 0.968947 0.485509
6.11 -0.169633 0.970643 0.485462
6.12 -0.159919 0.972243 0.485415
6.13 -0.15019 0.973745 0.485368
6.14 -0.140446 0.975149 0.485321
6.15 -0.130688 0.976456 0.485273
6.16 -0.120918 0.977666 0.485226
6.17 -0.111136 0.978777 0.485178
6.18 -0.101344 0.979791 0.48513
6.19 -0.091542 0.980706 0.485082
6.2 -0.0817313 0.981524 0.485034
6.21 -0.071913 0.982243 0.484986
6.22 -0.0620879 0.982864 0.484938
6.23 -0.0522572 0.983386 0.48489
6.24 -0.0424217 0.983811 0.484842
6.25 -0.0325824 0.984137 0.484793
6.26 -0.0227404 0.984364 0.484745
6.27 -0.0128966 0.984493 0.484696
6.28 -0.00305205 0.984524 0.484648
6.29 0.00679236 0.984456 0.4846
6.3 0.0166356 0.984289 0.484551
6.31 0.0264767 0.984024 0.484503
6.32 0.0363146 0.983661 0.484454
6.33 0.0461484 0.9832 0.484406
6.34 0.0559771 0.98264 0.484357
6.35 0.0657997 0.981982 0.484309
6.36 0.0756153 0.981226 0.484261
6.37 0.0854228 0.980371 0.484213
6.38 0.0952212 0.979419 0.484164
6.39 0.10501 0.978369 0.484116
6.4 0.114787 0.977221 0.484068
6.41 0.124553 0.975975 0.484021
6.42 0.134305 0.974632 0.483973
6.43 0.144044 0.973191 0.483925
6.44 0.153768 0.971654 0.483878
6.45 0.163475 0.970019 0.48383
6.46 0.173166 0.968287 0.483783
6.47 0.18284 0.966458 0.483736
6.48 0.192494 0.964533 0.483689
6.49 0.202129 0.962512 0.483642
6.5 0.211743 0.960394 0.483596
6.51 0.221335 0.958181 0.48355
6.52 0.230905 0.955871 0.483504
6.53 0.240451 0.953466 0.483458
6.54 0.249973 0.950967 0.483412
6.55 0.259469 0.948372 0.483366
6.56 0.268939 0.945682 0.483321
6.57 0.278381 0.942898 0.483276
6.58 0.287796 0.94002 0.483232
6.59 0.29718 0.937047 0.483187
6.6 0.306535 0.933982 0.483143
6.61 0.315859 0.930823 0.483099
6.62 0.32515 0.927571 0.483055
6.63 0.334409 0.924227 0.483012
6.64 0.343633 0.92079 0.482969
6.65 0.352823 0.917261 0.482926
6.66 0.361977 0.913641 0.482884
6.67 0.371095 0.90993 0.482842
6.68 0.380174 0.906128 0.4828
6.69 0.389216 0.902235 0.482759
6.7 0.398218 0.898253 0.482718
6.71 0.407179 0.894181 0.482677
6.72 0.4161 0.890019 0.482637
6.73 0.424979 0.885769 0.482597
6.74 0.433814 0.88143 0.482557
6.75 0.442606 0.877004 0.482518
6.76 0.451353 0.87249 0.482479
6.77 0.460054 0.867889 0.482441
6.78 0.468709 0.863201 0.482402
6.79 0.477317 0.858428 0.482365
6.8 0.485877 0.853568 0.482328
6.81 0.494387 0.848624 0.482291
6.82 0.502848 0.843595 0.482254
6.83 0.511258 0.838482 0.482218
6.84 0.519616 0.833285 0.482183
6.85 0.527922 0.828006 0.482148
6.86 0.536175 0.822643 0.482113
6.87 0.544374 0.817199 0.482079
