Wähle das Verfahren (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog:
0 0 1
Verfahren: exp. Euler
13.6  0.441763 0.206742
13.7  0.462186 0.158014
13.8  0.477783 0.108194
13.9  0.488446 0.0577893
14  0.494119 0.00731112
14.1  0.494793 -0.0427354
14.2  0.490513 -0.0918542
14.3  0.48137 -0.139563
14.4  0.467505 -0.185399
14.5  0.449104 -0.228923
14.6  0.426396 -0.269723
14.7  0.399651 -0.307417
14.8  0.369176 -0.34166
14.9  0.335315 -0.372144
15  0.298439 -0.398602
15.1  0.258948 -0.420809
15.2  0.217262 -0.438586
15.3  0.17382 -0.4518
15.4  0.129074 -0.460363
15.5  0.0834856 -0.464237
15.6  0.0375178 -0.46343
15.7  -0.00836547 -0.457996
15.8  -0.0537063 -0.448038
15.9  -0.0980566 -0.433698
16  -0.140983 -0.415164
16.1  -0.18207 -0.392665
16.2  -0.220926 -0.366464
16.3  -0.257183 -0.33686
16.4  -0.290507 -0.304183
16.5  -0.320592 -0.268792
16.6  -0.34717 -0.231066
16.7  -0.370011 -0.191407
16.8  -0.388923 -0.150231
16.9  -0.403757 -0.107964
17  -0.414405 -0.0650398
17.1  -0.420803 -0.0218947
17.2  -0.422928 0.0210379
17.3  -0.420803 0.0633307
17.4  -0.414492 0.104567
17.5  -0.404098 0.144346
17.6  -0.389767 0.182283
17.7  -0.371682 0.218019
17.8  -0.350061 0.251216
17.9  -0.325156 0.28157
18  -0.297248 0.308804
18.1  -0.266647 0.332678
18.2  -0.233685 0.352986
18.3  -0.198716 0.369561
18.4  -0.162109 0.382276
18.5  -0.124248 0.39104
18.6  -0.0855225 0.395806
18.7  -0.0463292 0.396566
18.8  -0.00706453 0.393353
18.9  0.0318782 0.386239
19  0.0701126 0.375333
19.1  0.107264 0.360784
19.2  0.14297 0.342772
19.3  0.176891 0.321512
19.4  0.208703 0.29725
19.5  0.238109 0.270257
19.6  0.264841 0.240833
19.7  0.288657 0.209294
19.8  0.309348 0.175977
19.9  0.326739 0.141234
20  0.340689 0.105426
20.1  0.351092 0.0689222
20.2  0.35788 0.0320939
20.3  0.361021 -0.00468703
20.4  0.360521 -0.0410533
20.5  0.356421 -0.0766454
20.6  0.348797 -0.111115
20.7  0.337762 -0.144129
20.8  0.32346 -0.175371
20.9  0.306065 -0.204548
21  0.285785 -0.231387
21.1  0.262849 -0.255644
21.2  0.237514 -0.277101
21.3  0.210057 -0.295574
21.4  0.180774 -0.310905
21.5  0.149977 -0.322975
21.6  0.117987 -0.331694
21.7  0.0851376 -0.337008
21.8  0.0517652 -0.3389
21.9  0.018209 -0.337384
22  -0.0151938 -0.332509
22.1  -0.0481107 -0.324357
22.2  -0.0802172 -0.313044
22.3  -0.111201 -0.298713
22.4  -0.140762 -0.281539
22.5  -0.16862 -0.26172
22.6  -0.194514 -0.239483
22.7  -0.218203 -0.215074
22.8  -0.239474 -0.188757
22.9  -0.258137 -0.160817
23  -0.274032 -0.131547
23.1  -0.287027 -0.101255
23.2  -0.297023 -0.070253
23.3  -0.303948 -0.0388586
23.4  -0.307765 -0.00738959
23.5  -0.308466 0.0238386
23.6  -0.306075 0.0545162
23.7  -0.300647 0.0843418
23.8  -0.292267 0.113026
23.9  -0.281048 0.140293
24  -0.267131 0.165884
24.1  -0.250682 0.18956
24.2  -0.231891 0.211105
24.3  -0.210968 0.230322
24.4  -0.188145 0.247044
24.5  -0.163669 0.261129
24.6  -0.137801 0.272461
24.7  -0.110813 0.280956
24.8  -0.0829875 0.286556
24.9  -0.0546102 0.289234
25  -0.0259705 0.288994
25.1  0.00264247 0.285866
25.2  0.0309429 0.27991
25.3  0.0586509 0.271215
25.4  0.0854953 0.259894
25.5  0.111216 0.246088
25.6  0.135568 0.22996
25.7  0.15832 0.211692
25.8  0.179262 0.191491
25.9  0.198202 0.169577
26  0.21497 0.146186
26.1  0.229421 0.121567
26.2  0.241433 0.0959783
26.3  0.250911 0.069686
26.4  0.257785 0.0429597
26.5  0.262012 0.0160712
26.6  0.263577 -0.0107092
26.7  0.26249 -0.0371147
26.8  0.258789 -0.062885
26.9  0.252538 -0.0877687
27  0.243824 -0.111526
27.1  0.232758 -0.13393
27.2  0.219476 -0.154771
27.3  0.204131 -0.173856
27.4  0.186899 -0.191012
27.5  0.16797 -0.206086
27.6  0.147551 -0.218948
27.7  0.125861 -0.229492
27.8  0.103128 -0.237636
27.9  0.079592 -0.243322
28  0.0554952 -0.246518
28.1  0.0310844 -0.247216
28.2  0.00660692 -0.245436
28.3  -0.0176919 -0.241219
28.4  -0.0415708 -0.234632
28.5  -0.0647952 -0.225765
28.6  -0.0871394 -0.214728
28.7  -0.108389 -0.201655
28.8  -0.128342 -0.186696
28.9  -0.146812 -0.170019
29  -0.163629 -0.151809
29.1  -0.178642 -0.132263
29.2  -0.191718 -0.11159
29.3  -0.202746 -0.0900082
29.4  -0.211637 -0.0677416
29.5  -0.218322 -0.0450204
29.6  -0.222757 -0.0220761
29.7  -0.224921 0.000859476
29.8  -0.224813 0.0235571
29.9  -0.222458 0.0457922
30  -0.217903 0.067347
30.1  -0.211214 0.0880128
30.2  -0.202479 0.107592
30.3  -0.191807 0.125899
30.4  -0.179324 0.142764
